半金比率,ドーピング濃度,予測_抵抗減少量
91,2.7000000000000015,0.17145861166666665
92,2.7000000000000015,0.17145861166666665
93,2.7000000000000015,0.07604933475
94,2.7000000000000015,0.07604933475
95,2.7000000000000015,0.07604933475
96,2.7000000000000015,0.07604933475
97,2.7000000000000015,0.07604933475
98,2.7000000000000015,0.048327146599999996
99,2.7000000000000015,0.048327146599999996
100,2.7000000000000015,0.048327146599999996
80,2.8000000000000016,0.17145861166666665
81,2.8000000000000016,0.17145861166666665
82,2.8000000000000016,0.17145861166666665
83,2.8000000000000016,0.17145861166666665
84,2.8000000000000016,0.17145861166666665
85,2.8000000000000016,0.17145861166666665
86,2.8000000000000016,0.17145861166666665
87,2.8000000000000016,0.17145861166666665
88,2.8000000000000016,0.17145861166666665
89,2.8000000000000016,0.17145861166666665
90,2.8000000000000016,0.17145861166666665
91,2.8000000000000016,0.17145861166666665
92,2.8000000000000016,0.17145861166666665
93,2.8000000000000016,0.07604933475
94,2.8000000000000016,0.07604933475
95,2.8000000000000016,0.07604933475
96,2.8000000000000016,0.07604933475
97,2.8000000000000016,0.07604933475
98,2.8000000000000016,0.048327146599999996
99,2.8000000000000016,0.048327146599999996
100,2.8000000000000016,0.048327146599999996
80,2.9000000000000017,0.17145861166666665
81,2.9000000000000017,0.17145861166666665
82,2.9000000000000017,0.17145861166666665
83,2.9000000000000017,0.17145861166666665
84,2.9000000000000017,0.17145861166666665
85,2.9000000000000017,0.17145861166666665
86,2.9000000000000017,0.17145861166666665
87,2.9000000000000017,0.17145861166666665
88,2.9000000000000017,0.17145861166666665
89,2.9000000000000017,0.17145861166666665
90,2.9000000000000017,0.17145861166666665
91,2.9000000000000017,0.17145861166666665
92,2.9000000000000017,0.17145861166666665
93,2.9000000000000017,0.07604933475
94,2.9000000000000017,0.07604933475
95,2.9000000000000017,0.07604933475
96,2.9000000000000017,0.07604933475
97,2.9000000000000017,0.07604933475
98,2.9000000000000017,0.048327146599999996
99,2.9000000000000017,0.048327146599999996
100,2.9000000000000017,0.048327146599999996
80,3.0000000000000018,0.17145861166666665
81,3.0000000000000018,0.17145861166666665
82,3.0000000000000018,0.17145861166666665
83,3.0000000000000018,0.17145861166666665
84,3.0000000000000018,0.17145861166666665
85,3.0000000000000018,0.17145861166666665
86,3.0000000000000018,0.17145861166666665
87,3.0000000000000018,0.17145861166666665
88,3.0000000000000018,0.17145861166666665
89,3.0000000000000018,0.17145861166666665
90,3.0000000000000018,0.17145861166666665
91,3.0000000000000018,0.17145861166666665
92,3.0000000000000018,0.17145861166666665
93,3.0000000000000018,0.07604933475
94,3.0000000000000018,0.07604933475
95,3.0000000000000018,0.07604933475
96,3.0000000000000018,0.07604933475
97,3.0000000000000018,0.07604933475
98,3.0000000000000018,0.048327146599999996
99,3.0000000000000018,0.048327146599999996
100,3.0000000000000018,0.048327146599999996
80,3.100000000000002,0.09316350400000001
81,3.100000000000002,0.09316350400000001
82,3.100000000000002,0.09316350400000001
83,3.100000000000002,0.09316350400000001
84,3.100000000000002,0.09316350400000001
85,3.100000000000002,0.09316350400000001
86,3.100000000000002,0.09316350400000001
87,3.100000000000002,0.09316350400000001
88,3.100000000000002,0.09316350400000001
89,3.100000000000002,0.09316350400000001
