半金比率,ドーピング濃度,予測_抵抗減少量
82,1.7000000000000006,0.1688469603671429
83,1.7000000000000006,0.1688469603671429
84,1.7000000000000006,0.1688469603671429
85,1.7000000000000006,0.1688469603671429
86,1.7000000000000006,0.1688469603671429
87,1.7000000000000006,0.1688469603671429
88,1.7000000000000006,0.1688469603671429
89,1.7000000000000006,0.1688469603671429
90,1.7000000000000006,0.1688469603671429
91,1.7000000000000006,0.1688469603671429
92,1.7000000000000006,0.1688469603671429
93,1.7000000000000006,0.07575942341203178
94,1.7000000000000006,0.07575942341203178
95,1.7000000000000006,0.07575942341203178
96,1.7000000000000006,0.07575942341203178
97,1.7000000000000006,0.07575942341203178
98,1.7000000000000006,0.04878028547786724
99,1.7000000000000006,0.04878028547786724
100,1.7000000000000006,0.04878028547786724
80,1.8000000000000007,0.1688469603671429
